GS<br> follow link to MSigDB,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
MORF_PAPSS1,28,0.5542837,1.7994233,0.002012072,1,0.176,784,"tags=75%, list=24%, signal=98%"
MORF_XRCC5,83,0.49228004,1.769367,0,0.6776442,0.206,977,"tags=73%, list=30%, signal=102%"
MORF_RFC4,64,0.50621283,1.7625195,0.009823183,0.47840837,0.211,1137,"tags=80%, list=35%, signal=120%"
MORF_DNMT1,50,0.5089095,1.7447345,0.00998004,0.4125819,0.235,1533,"tags=96%, list=47%, signal=178%"
MORF_EI24,56,0.4958924,1.7256963,0.01002004,0.37811053,0.26,1004,"tags=75%, list=31%, signal=106%"
MORF_PRKDC,83,0.475502,1.7248132,0.001984127,0.31715554,0.261,909,"tags=69%, list=28%, signal=93%"
MORF_AP3D1,36,0.5350782,1.715138,0.008213553,0.28913736,0.272,950,"tags=78%, list=29%, signal=108%"
MORF_MSH2,33,0.5222336,1.7064513,0.010080645,0.27151778,0.278,1022,"tags=79%, list=31%, signal=113%"
MORF_DAP3,52,0.4962801,1.7055975,0.007984032,0.2423662,0.278,950,"tags=73%, list=29%, signal=101%"
MORF_HDAC2,111,0.4706092,1.7037779,0.005976096,0.22079955,0.28,1144,"tags=76%, list=35%, signal=112%"
MORF_GNB1,97,0.46518248,1.7010239,0.002,0.20414372,0.285,1533,"tags=90%, list=47%, signal=164%"
MORF_BUB3,106,0.4671423,1.6954825,0.013888889,0.19496779,0.29,1533,"tags=90%, list=47%, signal=163%"
MORF_PPP1CC,70,0.4995775,1.6901188,0.016129032,0.18420333,0.298,1533,"tags=94%, list=47%, signal=174%"
MORF_RAC1,54,0.46185416,1.6791034,0.013916501,0.18341608,0.306,1601,"tags=93%, list=49%, signal=178%"
MORF_RAD54L,52,0.47900397,1.6663421,0.011741683,0.18844445,0.318,777,"tags=65%, list=24%, signal=84%"
MORF_DEAF1,29,0.5534939,1.6622199,0.018255578,0.18072587,0.325,1306,"tags=93%, list=40%, signal=154%"
MORF_RAD23A,125,0.43499693,1.6556357,0.021568628,0.17740314,0.329,1533,"tags=85%, list=47%, signal=154%"
MORF_SOD1,79,0.45302102,1.644356,0.026104419,0.18361828,0.343,1523,"tags=87%, list=47%, signal=160%"
MORF_CDC10,43,0.47107616,1.6248872,0.006036217,0.19911209,0.356,784,"tags=65%, list=24%, signal=85%"
MORF_PTPN11,39,0.4682667,1.6192148,0.03869654,0.19576374,0.36,1519,"tags=87%, list=46%, signal=161%"
MORF_AATF,93,0.4330031,1.615751,0.027559055,0.18986572,0.361,938,"tags=65%, list=29%, signal=88%"
MORF_CUL1,31,0.48911807,1.6090158,0.012170386,0.18926659,0.37,977,"tags=74%, list=30%, signal=105%"
MORF_CSNK2B,80,0.43298754,1.5990872,0.030120483,0.19277744,0.379,1622,"tags=89%, list=50%, signal=172%"
MORF_PPP2CA,42,0.46925777,1.5966457,0.025,0.18750311,0.382,1703,"tags=98%, list=52%, signal=201%"
MORF_EIF4E,40,0.4697869,1.591759,0.01754386,0.18502994,0.386,961,"tags=70%, list=29%, signal=98%"
MORF_PRDX3,25,0.5414483,1.5915775,0.026584867,0.1780016,0.386,1512,"tags=100%, list=46%, signal=185%"
MORF_RAB1A,36,0.46209502,1.5888519,0.049281314,0.17396255,0.388,1703,"tags=97%, list=52%, signal=201%"
GNF2_HDAC1,39,0.4783227,1.5865628,0.026476579,0.1688445,0.388,1220,"tags=79%, list=37%, signal=125%"
MORF_EIF3S2,89,0.4340205,1.5853456,0.037401576,0.1641219,0.388,977,"tags=66%, list=30%, signal=92%"
MORF_HDAC1,66,0.44659415,1.5785718,0.044444446,0.1642207,0.396,1573,"tags=89%, list=48%, signal=169%"
